Date,Weekly U.S. Ending Stocks of Finished Motor Gasoline  (Thousand Barrels),U.S. Gasoline Demand (Thousand Barrels per Day),Weekly U.S. Imports of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. Product Supplied of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Refiner and Blender Net Production of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Exports of Finished Motor Gasoline  (Thousand Barrels per Day),Motor Gasoline Consumed by the Transportation Sector(T/ B per Day),Motor Gasoline Consumed by the Commercial Sector(T/ B per Day),Motor Gasoline Consumed by the Industrial Sector(T/ B per Day)
1999-07-01,164872,8710,345,1.2042,8710.6,8116,0,8841.155999999999,15.845999999999998,84.579
1999-08-01,158486,8597,335,1.26675,8597.0,8280,0,8483.126,15.204,81.154
1999-09-01,155966,8685,397,1.29525,8685.0,8314,0,8211.725,14.718,78.557
1999-10-01,157426,8489,334,1.2822,8489.8,8263,0,8445.585,15.137,80.795
1999-11-01,152104,8392,275,1.2975,8392.25,8104,0,8147.554,14.603,77.943
1999-12-01,154393,8288,171,1.312666667,8288.333333,8309,0,8759.535,15.7,83.79799999999999
2000-01-01,157505,7938,374,1.33275,7938.5,7918,0,7560.479,21.096999999999998,71.166
2000-02-01,155271,8153,300,1.41475,8153.25,7772,0,8191.0419999999995,22.857,77.101
2000-03-01,155321,8150,291,1.5532,8150.2,8102,0,8205.16,22.896,77.234
2000-04-01,156156,8302,439,1.4609999999999999,8302.0,8214,0,8273.898000000001,23.088,77.881
2000-05-01,157953,8601,354,1.54275,8601.0,8408,0,8556.295,23.875999999999998,80.539
2000-06-01,158392,8651,364,1.6652,8651.2,8446,0,8718.11,24.328000000000003,82.06200000000001
2000-07-01,161634,8584,335,1.5730000000000002,8584.5,8506,0,8537.938,23.825,80.366
2000-08-01,157879,8829,273,1.5055,8829.5,8360,0,8813.096,24.593000000000004,82.956
2000-09-01,150178,8400,324,1.5828,8400.6,8211,0,8414.844000000001,23.480999999999998,79.208
2000-10-01,151319,8637,342,1.57275,8637.25,8143,0,8315.235999999999,23.203000000000003,78.27
2000-11-01,147331,8471,429,1.5590000000000002,8471.666667,8230,0,8282.855,23.113000000000003,77.965
2000-12-01,155596,8528,394,1.4809999999999999,8528.0,8372,0,8565.313,23.901,80.624
2001-01-01,155786,7820,433,1.49725,7820.5,7755,0,7934.804,18.518,145.937
2001-02-01,156318,8164,391,1.4895,8164.5,7746,0,8066.32,18.825,148.355
2001-03-01,148905,8476,314,1.4562,8476.0,7915,0,8358.885,19.507,153.736
2001-04-01,146461,8472,440,1.621,8472.666667,8392,0,8400.951,19.605999999999998,154.51
2001-05-01,153962,8531,413,1.7375,8531.75,8535,0,8529.099,19.905,156.86700000000002
2001-06-01,165001,8717,410,1.63,8717.4,8751,0,8513.355,19.868,156.577
2001-07-01,167094,8975,464,1.45275,8975.0,8458,0,8839.821,20.63,162.582
2001-08-01,157210,8844,403,1.4844,8844.0,8210,0,8771.495,20.47,161.325
2001-09-01,152538,8461,462,1.52575,8461.5,8352,0,8383.513,19.565,154.189
2001-10-01,160526,8646,462,1.3319999999999999,8646.75,8478,0,8478.914,19.788,155.944
2001-11-01,161219,8674,441,1.2075,8674.25,8448,0,8500.619,19.838,156.343
2001-12-01,159415,8674,452,1.12175,8674.25,8203,0,8410.809000000001,19.629,154.691
2002-01-01,162750,8220,436,1.148,8220.0,8207,0,8053.868,22.066,151.13
2002-02-01,165587,8374,420,1.15475,8374.25,7966,0,8425.63,23.085,158.106
2002-03-01,158782,8598,452,1.28925,8598.25,8048,0,8473.268,23.215999999999998,159.0
2002-04-01,159524,8772,617,1.44525,8772.0,8408,0,8581.164,23.511,161.025
2002-05-01,167825,8744,488,1.4338,8744.4,8560,0,8887.363000000001,24.35,166.77
2002-06-01,166738,8924,575,1.4235,8924.75,8438,0,8947.715,24.516,167.903
2002-07-01,165413,9044,560,1.444333333,9044.666667,8575,0,8950.742,24.524,167.96
2002-08-01,161404,9162,522,1.4372,9162.8,8591,0,9116.469000000001,24.978,171.06900000000002
2002-09-01,159381,8737,479,1.4425,8737.5,8444,0,8503.664,23.299,159.57
2002-10-01,152231,8915,415,1.48625,8915.0,8206,0,8628.195,23.64,161.907
2002-11-01,149196,8822,609,1.46075,8822.5,8485,0,8642.74,23.68,162.18
2002-12-01,156228,8880,459,1.4345,8880.5,8757,0,8706.163,23.854,163.37
2003-01-01,161788,8547,496,1.5138,8547.0,8127,0,8223.28,29.684,160.553
2003-02-01,155883,8400,456,1.69375,8400.0,8033,0,8332.697,30.079,162.689
2003-03-01,146408,8641,543,1.736,8641.5,8006,0,8407.186,30.348000000000003,164.143
2003-04-01,146946,8485,599,1.6373333330000002,8485.333333,8168,0,8638.198,31.182,168.65400000000002
2003-05-01,151753,8907,542,1.5342,8907.0,8573,0,8837.301,31.9,172.541
2003-06-01,154943,8929,507,1.53825,8929.5,8508,0,8962.822,32.353,174.99200000000002
2003-07-01,153578,9167,546,1.5623333330000002,9167.666667,8742,0,8983.846,32.429,175.40200000000002
2003-08-01,145647,9402,537,1.6856,9402.8,8763,0,9198.651,33.205,179.59599999999998
2003-09-01,145418,8929,522,1.7045,8929.0,8704,0,8724.013,31.491,170.329
2003-10-01,143928,9165,476,1.6002,9165.8,8610,0,8901.681999999999,32.133,173.798
2003-11-01,140059,8984,456,1.547,8984.0,8674,0,8743.268,31.561,170.705
2003-12-01,145651,8957,487,1.518666667,8957.333333,8723,0,8807.190999999999,31.791999999999998,171.953
2004-01-01,147402,8473,331,1.641,8473.5,8183,0,8496.135,22.393,186.47299999999998
2004-02-01,143036,8780,339,1.71475,8780.0,8393,0,8625.472,22.733,189.312
2004-03-01,137699,8890,495,1.7830000000000001,8890.25,8446,0,8807.511999999999,23.213,193.30700000000002
2004-04-01,136369,9100,522,1.8530000000000002,9100.75,8713,0,8906.936,23.475,195.489
2004-05-01,137511,9226,543,2.0575,9226.25,8921,0,8959.171,23.613000000000003,196.636
2004-06-01,137779,9164,542,2.0125,9164.25,8708,0,9098.135,23.979,199.68599999999998
2004-07-01,137828,9222,589,1.9494,9222.2,8803,0,9132.931,24.070999999999998,200.449
2004-08-01,134927,9421,514,1.9180000000000001,9421.0,8843,0,9102.833,23.991999999999997,199.78900000000002
2004-09-01,131423,9153,519,1.91225,9153.5,8542,0,8799.152,23.191,193.123
2004-10-01,131874,8973,510,2.0484,8973.8,8721,0,8878.572,23.401,194.86700000000002
2004-11-01,135194,9147,523,2.017,9147.333333,8884,0,8837.867,23.293000000000003,193.97299999999998
2004-12-01,140906,9182,500,1.8835,9182.5,8942,0,8984.673,23.68,197.195
2005-01-01,143628,8783,404,1.88725,8783.5,8494,0,8609.542,23.115,179.921
2005-02-01,145956,8861,573,1.9525,8861.0,8558,0,8657.261999999999,23.243000000000002,180.919
2005-03-01,143048,9071,502,2.0956666669999997,9071.333333,8365,0,8786.385,23.589000000000002,183.61700000000002
2005-04-01,138104,9136,592,2.283,9136.8,8721,0,8917.283000000001,23.941,186.35299999999998
2005-05-01,142745,9337,637,2.18675,9337.0,8997,0,9064.559000000001,24.336,189.43
2005-06-01,141602,9414,497,2.19825,9414.75,8963,0,9156.67,24.583000000000002,191.355
2005-07-01,137331,9512,550,2.333,9512.4,8789,0,9314.142,25.006,194.646
2005-08-01,127376,9442,601,2.57725,9442.0,8727,0,9317.391,25.015,194.71400000000003
2005-09-01,125166,8831,658,2.9560000000000004,8831.6,8283,0,8709.748,23.384,182.016
2005-10-01,128017,8942,735,2.71275,8942.5,8438,0,8827.981,23.701,184.486
2005-11-01,132565,9173,626,2.3376666669999997,9173.666667,8801,0,8905.056,23.908,186.097
2005-12-01,135274,9293,611,2.23875,9293.25,8786,0,9081.35,24.381,189.78099999999998
2006-01-01,138076,8878,566,2.38025,8878.5,8645,0,8626.148000000001,24.424,188.8
2006-02-01,142573,9011,661,2.32575,9011.75,8478,0,8696.359,24.623,190.33700000000002
2006-03-01,136041,9076,637,2.5004,9076.0,8234,0,8836.065999999999,25.018,193.395
2006-04-01,117033,9136,453,2.8843333330000003,9136.0,8310,0,8933.159,25.293000000000003,195.52
2006-05-01,116604,9324,523,2.9495,9324.0,9124,0,9083.049,25.718000000000004,198.8
2006-06-01,121688,9478,437,2.9396,9478.8,9246,0,9249.708,26.19,202.44799999999998
2006-07-01,119848,9600,465,3.037,9600.5,9132,0,9375.423,26.545,205.2
2006-08-01,115824,9602,407,2.9985,9602.0,9205,0,9333.037,26.425,204.27200000000002
2006-09-01,115624,9317,419,2.557,9317.4,9124,0,9012.955,25.519000000000002,197.266
2006-10-01,115773,9387,465,2.27575,9387.5,8807,0,9043.073,25.604,197.925
2006-11-01,110719,9171,504,2.269666667,9171.666667,8702,0,9021.365,25.543000000000003,197.45
2006-12-01,112385,9367,400,2.3634,9367.6,9297,0,9112.759,25.802,199.451
2007-01-01,121444,9089,371,2.26575,9089.75,9124,0,8701.003,30.728,153.776
2007-02-01,123590,9129,373,2.32325,9129.0,8807,0,8819.398000000001,31.146,155.869
2007-03-01,115717,9266,369,2.6374,9266.0,8767,0,8987.043,31.738000000000003,158.832
2007-04-01,105424,9285,463,2.926,9285.5,8627,0,9024.076,31.869,159.486
2007-05-01,106419,9416,619,3.187,9416.5,9111,0,9238.405999999999,32.626,163.274
2007-06-01,112169,9541,507,3.0826,9541.0,9324,0,9294.266,32.823,164.261
2007-07-01,112132,9680,450,3.01225,9680.75,9273,0,9439.431999999999,33.336,166.827
2007-08-01,108214,9622,397,2.8354,9622.4,9190,0,9382.993,33.135999999999996,165.83
2007-09-01,104405,9248,452,2.84875,9248.75,8850,0,9062.077,32.003,160.158
2007-10-01,105175,9295,542,2.8569999999999998,9295.25,8927,0,9044.293,31.94,159.844
2007-11-01,104707,9260,448,3.11975,9260.5,8961,0,9037.544,31.916,159.724
2007-12-01,106273,9341,426,3.05975,9341.75,9085,0,9058.775,31.991,160.1
2008-01-01,110296,9081,455,3.0945,9081.0,8986,0,8658.095,23.469,128.30100000000002
2008-02-01,116094,9035,435,3.105,9035.4,8861,0,8713.483,23.619,129.122
2008-03-01,115409,9162,349,3.3135,9162.0,8713,0,8910.054,24.151999999999997,132.034
2008-04-01,108439,9257,381,3.50725,9257.0,8892,0,8955.271,24.275,132.705
2008-05-01,104424,9303,396,3.8572,9303.0,8964,0,9091.726,24.645,134.727
2008-06-01,106200,9338,490,4.12525,9338.25,9008,0,8952.765,24.268,132.667
2008-07-01,106909,9375,379,4.11425,9375.25,9060,0,8992.154,24.375,133.251
2008-08-01,97451,9437,168,3.8128,9437.6,9115,0,8976.873,24.333000000000002,133.025
2008-09-01,88472,8867,338,3.76175,8867.0,8342,0,8350.828000000001,22.636,123.74799999999999
2008-10-01,94159,8960,333,2.9819999999999998,8960.4,9003,0,8868.773000000001,24.04,131.423
2008-11-01,95093,8936,149,2.122666667,8936.0,8934,0,8750.438,23.719,129.66899999999998
2008-12-01,94330,9040,166,1.7135,9040.75,9056,0,8773.572,23.781999999999996,130.012
2009-01-01,96941,8810,214,1.8608,8810.8,8799,0,8473.62,26.741999999999997,122.584
2009-02-01,93056,9032,169,1.98625,9032.0,8799,0,8683.468,27.404,125.62
2009-03-01,89075,9038,324,2.017,9038.0,8715,0,8748.56,27.61,126.561
2009-04-01,87175,9103,177,2.101333333,9103.666667,8948,0,8872.735,28.002,128.358
2009-05-01,84346,9124,273,2.3672,9124.8,8907,0,8926.648000000001,28.171999999999997,129.138
2009-06-01,83174,9169,282,2.70825,9169.25,9136,0,9020.871,28.469,130.501
2009-07-01,85696,9197,261,2.5675,9197.0,9061,0,9100.065999999999,28.719,131.64600000000002
2009-08-01,84990,9184,309,2.685,9184.75,8983,0,9133.843,28.826,132.135
2009-09-01,85364,9050,190,2.60875,9050.0,9064,0,8756.289,27.634,126.67299999999999
2009-10-01,80356,9069,141,2.633,9069.6,8840,0,8830.733,27.869,127.75
2009-11-01,79248,8983,161,2.6993333330000002,8983.666667,9053,0,8751.407,27.619,126.602
2009-12-01,82419,9006,189,2.6630000000000003,9006.666667,9074,0,8776.488000000001,27.698,126.965
2010-01-01,84299,8643,214,2.7685,8643.5,8574,0,8360.055,26.545,132.94299999999998
2010-02-01,84765,8808,221,2.7089999999999996,8808.25,8732,0,8418.764000000001,26.732,133.876
2010-03-01,81818,8997,103,2.8415,8997.0,8944,0,8628.232,27.397,137.207
2010-04-01,80651,9262,152,2.91775,9262.25,9248,0,8937.312,28.378,142.122
2010-05-01,78733,9126,110,2.8755,9126.25,9091,0,8990.969000000001,28.549,142.976
2010-06-01,77310,9308,119,2.785,9308.75,9224,155,9136.677,29.011,145.293
2010-07-01,77387,9414,115,2.7828,9414.6,9387,155,9126.77,28.98,145.135
2010-08-01,76727,9364,114,2.782,9364.0,9287,187,9082.15,28.838,144.425
2010-09-01,76400,9128,78,2.75725,9128.0,9059,207,8941.698,28.392,142.192
2010-10-01,71899,9013,144,2.8546,9013.0,9114,204,8846.847,28.090999999999998,140.684
2010-11-01,69010,8945,95,2.9306666669999997,8945.666667,9054,178,8650.895,27.469,137.56799999999998
2010-12-01,69679,9244,119,3.028333333,9244.333333,9340,167,8744.011999999999,27.765,139.048
2011-01-01,67395,8693,83,3.1545,8693.75,8798,191,8215.780999999999,22.789,131.585
2011-02-01,72999,8899,118,3.264,8899.25,8961,217,8445.351999999999,23.425,135.261
2011-03-01,67841,8990,91,3.615,8990.5,8938,267,8636.364,23.955,138.321
2011-04-01,60138,9009,125,3.8725,9009.75,8962,272,8634.029,23.949,138.283
2011-05-01,55990,9082,116,3.946,9082.5,9256,215,8654.643,24.006,138.613
2011-06-01,57491,9278,138,3.73475,9278.25,9320,245,8899.818000000001,24.686,142.54
2011-07-01,54922,9113,87,3.717,9113.4,9308,257,8864.664,24.588,141.977
2011-08-01,54276,9169,118,3.678,9169.25,9413,360,8760.684000000001,24.3,140.312
2011-09-01,55540,8917,92,3.6318,8917.0,9140,359,8582.622,23.805999999999997,137.46
2011-10-01,54750,8656,48,3.51,8656.75,8936,486,8489.076,23.546999999999997,135.96200000000002
2011-11-01,55042,8664,73,3.443,8664.25,8988,530,8379.676,23.243000000000002,134.21
2011-12-01,59208,8706,90,3.328666667,8706.333333,9200,525,8523.232,23.641,136.509
2012-01-01,61760,8072,86,3.4605,8072.75,8586,600,8042.273,19.655,128.481
2012-02-01,62280,8299,49,3.6395,8299.25,8643,603,8442.27,20.631999999999998,134.872
2012-03-01,58508,8509,93,3.925,8509.8,8661,474,8426.849,20.595,134.625
2012-04-01,53947,8654,72,3.932666667,8654.333333,8670,412,8582.434000000001,20.975,137.111
2012-05-01,50290,8849,54,3.7910000000000004,8849.75,8926,411,8816.796999999999,21.548000000000002,140.855
2012-06-01,50876,8863,72,3.5596,8863.6,9057,389,8832.84,21.587,141.111
2012-07-01,52245,8756,41,3.5189999999999997,8756.25,8914,373,8650.942,21.142,138.205
2012-08-01,51075,9093,34,3.8048,9093.8,9011,331,8988.269,21.967,143.594
2012-09-01,49436,8682,58,3.90025,8682.5,8723,362,8406.011,20.544,134.292
2012-10-01,48434,8663,28,3.7985,8663.25,8860,336,8543.371,20.879,136.487
2012-11-01,52397,8616,52,3.51025,8616.75,8954,334,8329.169,20.355999999999998,133.065
2012-12-01,57644,8558,63,3.36,8558.0,9078,431,8237.132,20.131,131.594
2013-01-01,58083,8315,36,3.39075,8315.5,8587,473,8176.821999999999,20.342,133.937
2013-02-01,58281,8463,19,3.736,8463.25,8766,510,8239.904,20.499000000000002,134.97
2013-03-01,53827,8428,14,3.77875,8428.5,8754,569,8480.541,21.096999999999998,138.912
2013-04-01,49490,8506,41,3.61925,8506.25,8927,516,8691.39,21.622,142.366
2013-05-01,47317,8670,11,3.681,8670.8,9062,378,8866.141,22.057,145.22799999999998
2013-06-01,50240,8919,72,3.654,8919.0,9282,313,8909.427,22.164,145.937
2013-07-01,50619,8952,59,3.724333333,8952.666667,9156,278,8976.764000000001,22.331999999999997,147.04
2013-08-01,49810,9152,66,3.6514,9152.2,9221,311,8955.266,22.278000000000002,146.688
2013-09-01,48060,8751,23,3.58575,8751.5,8956,360,8780.779,21.844,143.83
2013-10-01,47633,8943,27,3.4195,8943.5,8996,374,8778.261,21.838,143.78799999999998
2013-11-01,39582,9039,49,3.32175,9039.25,9401,375,8757.571,21.785999999999998,143.45
2013-12-01,41332,8858,44,3.35775,8858.25,9430,430,8508.961,21.168000000000003,139.377
2014-01-01,41399,8278,40,3.388,8278.0,8921,533,8140.93,27.033,105.477
2014-02-01,39790,8325,12,3.4795,8325.25,9090,581,8508.233,28.253,110.236
2014-03-01,36512,8794,29,3.6189999999999998,8794.0,9357,564,8557.378,28.416,110.87200000000001
2014-04-01,31638,8768,43,3.727666667,8768.333333,9850,485,8811.706,29.26,114.167
2014-05-01,29123,9099,52,3.753,9099.6,10294,393,8878.280999999999,29.482,115.03
2014-06-01,28982,8965,45,3.76625,8965.75,10152,380,8894.593,29.535999999999998,115.241
2014-07-01,28872,8951,30,3.666666667,8951.666667,9835,412,9100.544,30.22,117.91
2014-08-01,28457,9127,27,3.5588,9127.2,9808,437,9161.938,30.423000000000002,118.705
2014-09-01,28438,8689,46,3.47125,8689.75,9423,383,8680.322,28.824,112.465
2014-10-01,26905,8910,53,3.219,8910.6,9450,437,9001.382,29.89,116.625
2014-11-01,27591,9151,58,2.97,9151.0,9532,396,8778.282,29.149,113.734
2014-12-01,30143,9263,36,2.5745,9263.5,9791,354,8797.576,29.214000000000002,113.984
2015-01-01,29932,8799,106,2.1968,8799.8,9253,416,8315.886999999999,191.717,131.497
2015-02-01,29658,8659,24,2.40125,8659.0,9435,588,8498.257,195.922,134.381
2015-03-01,29155,8957,14,2.544,8957.25,9576,612,8717.704,200.981,137.851
2015-04-01,26561,9006,60,2.5733333330000003,9006.333333,9835,546,8845.658000000001,203.93099999999998,139.874
2015-05-01,25476,9191,48,2.8144,9191.8,9800,498,8915.92,205.551,140.985
2015-06-01,25969,9540,25,2.89025,9540.5,9842,396,9064.745,208.982,143.339
2015-07-01,25413,9544,28,2.855,9544.75,9897,385,9115.985,210.16299999999998,144.149
2015-08-01,25527,9504,31,2.71275,9504.5,10067,431,9106.166,209.93599999999998,143.994
2015-09-01,27325,9059,57,2.4615,9059.0,9775,442,8941.098,206.13099999999997,141.384
2015-10-01,27850,9155,67,2.3738,9155.8,9843,483,8898.8,205.15599999999998,140.715
2015-11-01,28101,9121,86,2.2713333330000003,9121.0,9840,498,8770.743,202.204,138.69
2015-12-01,27051,9275,33,2.145333333,9275.0,9666,568,8805.34,203.00099999999998,139.237
2016-01-01,27615,8715,60,2.00575,8715.25,9332,466,8333.676,188.09,131.52
2016-02-01,27781,9255,62,1.857,9255.5,9747,444,8880.697,200.43599999999998,140.153
2016-03-01,27009,9457,67,2.0380000000000003,9457.333333,9698,398,9026.952,203.737,142.461
2016-04-01,25080,9423,138,2.241,9423.6,9787,398,8836.643,199.442,139.458
2016-05-01,24271,9661,56,2.37825,9661.25,9920,403,9069.074,204.688,143.126
2016-06-01,24697,9713,134,2.467,9713.5,10031,379,9253.059000000001,208.84,146.03
2016-07-01,25581,9752,83,2.3294,9752.0,10228,418,9223.846,208.18099999999998,145.569
2016-08-01,25471,9675,96,2.2880000000000003,9675.25,10216,477,9329.312,210.56099999999998,147.233
2016-09-01,25126,9384,43,2.332,9384.2,10031,617,9133.449,206.141,144.142
2016-10-01,25220,9090,56,2.3605,9090.75,10038,763,8757.457,197.655,138.208
2016-11-01,24936,9198,32,2.3040000000000003,9198.666667,10029,967,8892.199,200.696,140.335
2016-12-01,26488,8928,44,2.3894,8928.6,9955,1012,8940.323,201.782,141.094
2017-01-01,28597,8222,30,2.45175,8222.0,9245,920,8197.571,178.41400000000002,130.71
2017-02-01,27875,8680,47,2.416,8680.75,9407,799,8680.426,188.923,138.409
2017-03-01,24279,9298,21,2.4436,9298.2,9695,613,8986.38,195.582,143.287
2017-04-01,21499,9212,64,2.538333333,9212.333333,9876,689,8957.391,194.951,142.825
2017-05-01,21622,9596,36,2.49775,9596.5,10152,613,9202.78,200.292,146.738
2017-06-01,22251,9529,44,2.4434,9529.0,10107,622,9417.15,204.958,150.156
2017-07-01,23219,9760,23,2.424,9760.25,10189,556,9246.554,201.245,147.436
